d2mysa2;0;42;30.8;32.9;100;31.2;25;100;20;29.4;46.3;52;27.3;52.9;100;100;20;20;45;45.4;48;47.8;30.8;14.3;100;55.8
d1kk8a2;21.9;42.1;29.7;31.8;36;18.2;25;50;40;48.3;22.2;30.8;100;55.1;45.8;33.3;20;35.7;0;35.7;42.9;46.7;33.3;30.8;100;30.8
d1w7ja2;42;0;42.4;37.9;41.7;100;42.9;63.2;60;50;40.9;42.9;27.3;50;45;12.5;20;38.5;100;14.3;100;56.9;27.3;100;56.6;46.7
d1d0xa2;32.9;37.6;32.5;0.5;36.4;14.3;18.2;100;30.4;41.4;23.1;12.5;42.1;20;45.2;47.8;25;33.3;38.9;37.8;40;100;46.9;59;100;43.8
d1br2a2;30.8;42.4;0;32.8;35.7;30;16.7;50;40;47.6;50;44;23.1;100;100;50.9;22.2;51.8;30;50;50;100;38.9;50;54.2;51.4
d1lkxa_;43.5;43.6;43.8;39;36.4;33.3;40.9;50;23.1;35;55.6;42.1;26.7;30;54.2;100;35.3;36.4;53.8;46.2;100;100;51.6;27.3;25;14.3
d1mnda2;32.9;37.9;32.8;0;36.4;25;18.2;100;30.4;40;23.1;100;42.1;100;45.2;47.8;25;33.3;100;37.8;40;100;51.5;100;53.3;43.8
g1qhh.1;53.4;53.6;0;40.9;20;53.8;33.3;43.8;42.1;18.2;28.6;25;100;42.5;28.6;30;100;16.7;26.7;14.3;10;47.4;22.2;35.3;40;100
d1eg7a_;100;41.7;35.7;36.4;0;46.7;41.2;42.9;55.3;25;100;36.4;45.8;100;16.7;30;50;50;31;27.3;25;35.7;12.5;46.2;47.8;42.3
d1w36b1;18.2;38.9;25;12.5;100;43.8;53.5;100;46.2;0;30;0;11.1;22.2;20;30.8;14.3;22.2;20;33.3;16.7;100;55;100;62.2;38.9
d1w36c2;0;28.6;0;0;100;64.7;27.3;0;100;35.7;22.2;46;35;12.5;29.4;22.2;12.5;0;50;18.2;100;45.4;0;100;22.2;100
d1e94e_;33.3;48.3;30;25;40;10.2;100;100;10;16.7;18.2;30.8;100;22.2;100;100;37.5;14.3;46.4;42.3;57.6;25;55.6;44.4;47.8;30
d1g41a_;31.2;100;30;25;46.7;0;100;51.7;14.3;16.7;23.1;18.2;60.4;52.8;56.2;100;25;14.3;100;45.2;56.4;25;100;33.3;50;20
d1e9ra_;28.6;12.5;12.5;33.3;44.4;34.5;52.6;100;100;39.1;31.6;35.3;27.3;44.4;22.2;55.8;53.1;11.1;52;42.1;30;33.3;42.9;25;52.6;47.2
d1dj3a_;25;42.9;16.7;18.2;41.2;100;0;30.8;11.1;33.3;30;100;46.9;100;33.3;100;50;26.7;48;11.1;63.5;25;100;47.1;16.7;100
d1qf5a_;50;35.7;35.3;28.6;12.5;33.3;39.8;39.7;25;53.8;30;33.3;30;22.2;33.3;11.1;25;48;43.8;29.4;100;35.3;0;16.7;14.3;27.3
d1iwea_;100;63.2;50;100;42.9;51.7;30.8;0;40;33.3;46.7;47.9;55.6;20;16.7;33.3;25;60.9;30.8;33.3;43.5;37.5;14.3;100;100;25
d1dj2a_;40;22.2;47.4;100;30.8;100;11.2;30.7;40;33.3;100;100;100;36.8;25;50;50;26.7;100;42.1;40;100;56.5;14.3;55.8;35.7
d1w1wa_;20;60;40;30.4;55.3;14.3;11.1;40;0;51.3;33.3;50;31.6;28.6;100;22.2;47.1;60.7;57.1;20;41.2;20;38.5;30.6;100;16.7
d1p9ba_;18.2;16.7;36.4;30;40;0;36.1;36.3;50;0;46.2;42.1;31.2;100;27.3;44.4;41.2;33.3;33.3;54;100;100;27.3;22.2;45;100
d1t5la1;55.6;38.5;16.7;41.7;100;0;61.2;100;14.3;0;47.1;11.1;15.4;42.3;100;30.8;42.3;27.3;25;100;100;12.5;41.7;44.1;38.5;48
