d2p4wa1;0;42.9;34.8;37.5;43.7;27.6;45;35.7;12.5;34.8;33.8;45.8;17.6;43.1;40;19;38.5;41;16.7;17.4;29.2;40;39.4;33.9;40;32.8;30.6;36.1;21.1;13.3;45.3;40.4;22.2;31;33.3
d1ulya_;37.9;39.1;36.4;40.9;34.5;37.5;41.3;33.3;30.3;40;17.9;25.7;46.2;37.5;32.4;38.8;0;44.7;39.7;57.1;26.7;28.6;42.4;35.7;33.3;39.2;19;27;18.2;25.6;15.4;9.1;28.1;18.8;14.3
d1wlqc_;42.9;0;41.2;23.1;44.6;19.2;44;34.6;38.7;45.5;21.4;16.7;28.6;33.3;37;14.3;11.1;31.8;27.8;38.3;14.3;30;33.3;33.3;35.5;30.6;30;20;31.6;37.8;28.6;48.1;36.8;12.5;16.7
d1yg2a_;45.8;26.1;41.9;43.6;46.5;32.5;34.1;35.1;33.3;34.8;32.7;30;40.5;8.3;42.1;25;43.3;34.4;31.6;17.6;20;25;42.7;41.9;48.6;40.9;18.2;40.4;42.9;25.9;40;33.3;40.9;25;30
d2fbka1;34.8;41.2;0;39.3;49.1;37;46.9;44.8;14.3;36.6;38.2;43.1;38.9;39.3;37.9;36.1;34.4;25.9;32.6;40.4;14.3;40;44.2;34.4;38.6;42.6;29.4;37.8;14.3;19;48.1;40.9;26.7;18.2;20
d2fxaa1;18.2;37.5;40.7;20;31.8;14.3;31.3;38.8;45.9;39.4;35.3;33.3;45.5;45.7;40.3;44.4;42.1;28;0;37.5;30.8;31.2;37.7;41.7;30.6;0;36.4;40.4;45.3;37.5;38.6;33.3;31.2;40;33.3
d2a5yb1;37.5;23.1;39.3;0;28.6;51.7;25;20;30;30;26.7;30;25;36.8;40;35.9;12.5;20;46.9;40.9;32.1;33.3;22.2;35;20;33.3;10;37.5;33.3;37.3;38.7;20;22.2;36.4;32.1
d1hbxg_;21.1;33.3;14.3;36.4;36.1;37.1;16.7;38.6;20;20;23.1;27.3;27.3;23.1;38.7;30;38.2;39.1;22.2;26.9;11.1;39.3;33.3;43.4;25;41.9;29.2;26.1;0;33.3;42.9;16.7;38.9;12.5;27.4
d1ku9a_;43.7;44.6;49.1;28.6;0;26.7;34.1;32.5;54.2;21.9;38;33.8;36.4;34.9;20.9;32.4;50;43.1;20;13.3;18.8;39.4;48.7;31.9;47.6;33.3;40;39.1;9.1;30.8;41.8;42.1;43.9;14.3;30.4
d2v7fa1;36.7;11.1;35.7;8.3;28.6;31;16.7;25;37.5;41.9;34.8;48;22.2;41.7;36.8;43.6;0;21.4;16.7;11.1;0;41.7;40.3;46.6;45.3;25;40;0;18.2;30.6;32.6;37;44.4;0;33.3
d1u5ta1;27.6;19.2;37;51.7;26.7;0;31.8;25;52.2;38.3;20;34.4;41.7;11.1;29.2;28.6;33.3;46.4;38.5;30.4;31.4;41.7;18.2;39.1;12.5;30.8;27.5;40;37.1;11.1;29.2;37.7;36.6;45.9;10
d2hr3a1;10;14.3;47.3;28.6;30;15.4;36.4;42.6;22.2;26.7;34.2;41.5;36.8;41.3;37.9;32.4;27.3;30.8;22.2;25;7.7;23.1;29.4;31.2;43.6;40.7;26.7;40.4;31.2;40.5;34.8;34.8;27.3;43.5;33.3
d1lj9a_;45;44;46.9;25;34.1;31.8;0;39.6;33.3;33.8;31.7;36.7;44.3;38;34.9;33.3;47.4;32.8;34.4;41.2;29.3;31.2;32.4;18.6;41.8;27.3;23.1;37.5;16.7;23.3;38.1;35;28.6;25;46.2
d2axla1;27.8;54.5;35.3;29.4;34.4;12.5;38.9;40.9;18.8;45.5;40.5;25.8;44.1;35.7;20;45.5;25;28.6;41.2;38.5;25;33.3;38.1;11.1;0;27.8;10;46.9;37.5;30;11.1;33.3;22.2;28.6;38.5
d2nrac1;7.7;28.6;40;0;36.4;27.8;42.1;38;20;44.9;7.1;46.2;45.5;50;20;43.2;45.7;38.5;33.3;11.1;35.7;37.8;32;26.1;28.1;50;47.4;38.5;41.4;31.6;33.3;34.8;37.9;30;50
d2foka2;0;11.1;35;25;44.8;30;30;0;0;28.9;14.3;33.3;0;18.8;35.1;45.9;12.5;33.3;40;42.3;32.4;27.3;16.7;38.9;23.1;45.7;12.5;37.5;18.8;37.1;34.8;46.2;18.2;23.1;40
d1s3ja_;35.7;34.6;44.8;20;32.5;25;39.6;0;39.3;36.2;34.7;36.2;40.2;40.9;34.8;33.3;31.6;37.2;36;36.7;39;20;42.9;31;45.7;32;35.6;45;38.6;31.2;17.6;47.8;35.7;35;35.7
d2f2ea1;46.3;18.2;43.5;25;41.7;37.5;36.2;35.7;48.6;37.8;40;35.8;40;41.1;16.7;38.2;12.5;0;33.3;33.3;46.6;26.7;45.5;28;14.3;36.3;15.4;25;25;30.6;37.9;30.8;47.7;33.3;27.3
d1o7fa1;12.5;38.7;14.3;30;54.2;52.2;33.3;39.3;0;36.4;38.5;44.1;20;33.3;36.8;37.3;23.1;45.5;37.5;26.7;26.7;42.9;31.2;41.2;35;16.7;27.3;11.1;20;20;50;25;32;51.5;30
d1gvja_;11.1;46.2;40;11.1;42.9;9.1;20;28.6;22.2;27.3;25;32;37.5;35.7;0;14.3;40;43.5;29.4;0;31.6;40.5;11.1;27.3;33.3;40.6;27.3;33.3;19.8;0;35.7;33.3;25;25;32.1
d1lnwa_;34.8;45.5;36.6;30;21.9;38.3;33.8;36.2;36.4;0;27.5;40.3;40.7;36;32.4;40.3;25.8;36.3;36.7;34.1;33.3;32.3;35;34.6;30;34.8;20;38.7;31.2;26.2;36.8;36.6;26.1;31.2;33.3
d3deua1;26.9;38.5;38.3;35.3;37.1;14.3;35.6;37.3;11.1;35.3;26.3;38.9;38.9;23.9;35.5;29.4;38.5;35;40;37.5;10;35.9;41.9;28.6;31.6;42.1;36.4;42.6;41.7;26.7;19;39.3;44.4;0;11.1
d2etha1;33.8;21.4;38.2;26.7;38;20;31.7;34.7;38.5;27.5;0;19.5;42.9;28.8;31.9;22.2;37.5;34.9;33.3;29.2;39.6;18.2;35.7;27.3;42.3;43.3;24.2;39.3;23.1;33.8;31.1;40.5;33.3;33.3;20
d2foka1;6.7;46.5;42.1;40;26.1;37.9;30;28.6;28.6;31.6;36.7;14.3;0;40;35;21.1;42.5;48.3;24;22.2;35.1;35.7;0;31.8;33.3;48.4;42.9;21.4;16.7;25;34.8;47.1;27.3;9.1;30.8
d2a61a1;45.8;16.7;43.1;30;33.8;34.4;36.7;36.2;44.1;40.3;19.5;0;39.5;39.6;40.9;39.5;40;39.5;16.7;47.2;33.3;33.3;39.6;48.2;46.3;45.9;36.4;42.7;36.8;27.3;24.3;33.3;42.9;44.4;36.4
d1ylfa1;27.3;32;42.9;43.3;40;33.3;26.9;30.3;30;25;35.5;0;32;45.7;16.7;34.2;22.2;41.3;26.7;10;16.7;31.6;24;36.1;26.1;22.2;27.3;33.3;25;37.2;0;40;28.6;41.9;20
d1jgsa_;17.6;28.6;38.9;25;36.4;41.7;44.3;40.2;20;40.7;42.9;39.5;0;41.5;43.6;33.3;36.7;42.2;28.6;41.2;34.4;21.1;25;48.1;25;50;36.4;45.7;27.3;22.7;7.7;11.1;45.6;36.8;42.9
d1z91a1;35.9;41.9;40;13.3;40.2;32.3;34.3;31.7;47;28.6;33.7;39;39.8;37;26.2;50;32;37.5;30;42.2;46.1;35.7;45.3;35.2;50;46.7;42.4;39;39.4;20;43.3;41.8;29.4;29.4;41.4
d2fbha1;43.1;33.3;39.3;36.8;34.9;11.1;38;40.9;33.3;36;28.8;39.6;41.5;0;43.8;32.1;43.8;35.5;27.3;40.7;20;25;11.1;47.2;50;48.7;25;47.8;23.1;30.8;21.1;42.6;41.7;36.4;35.7
d2fbia1;28.1;13.3;43.3;35;44.4;25;37.4;39.1;34.4;39.8;38.2;37.4;45.1;31.9;31.5;33.3;42.5;29.7;26.1;36.1;34.1;18.2;39.1;45.6;29.3;36;33.3;20.7;50;30.3;25;40;28.6;12.5;25
d2bv6a1;40;37;37.9;40;20.9;29.2;34.9;34.8;36.8;32.4;31.9;40.9;43.6;43.8;0;38.9;25;38.3;39.3;28;37.3;40;11.1;36.9;47.9;48;33.3;41.1;38.7;44.6;34.6;31;42.9;25;27.3
d3broa1;31.2;18.2;37.8;0;39;29;39.4;38.1;0;41;35.5;38.6;38.6;35.4;34.5;40.5;37.5;36.8;39.1;39.3;41.4;30.6;18.8;38.5;25;27.3;43.6;36.8;27.8;30.8;36;7.7;35.7;39.5;20
d1mzba_;19;14.3;36.1;35.9;32.4;28.6;33.3;33.3;37.3;40.3;22.2;39.5;33.3;32.1;38.9;0;25;23.1;28.6;35.7;12.5;30.8;5.9;48.4;26.7;30;30.8;11.1;30;12.5;28.1;42.4;34.6;10;37.1
d2ipqx1;30.8;40.4;33.3;22.2;23.3;38.5;42.3;22.2;50;40;12.5;33.3;14.3;30.4;27.3;29.4;38.5;25;29.2;18.2;8.3;20;0;10;20;28.6;25;0;33.3;28.6;39.1;33.3;31.6;10;15.4
d1repc1;38.5;11.1;34.4;12.5;50;33.3;47.4;31.6;23.1;25.8;37.5;40;36.7;43.8;25;25;0;35.1;25;47.1;40.5;23.1;44;15;39.4;9.1;25;32.1;26.7;44.4;42.9;21.1;45;8.3;16.7
d1b9ma1;42.4;33.3;46.8;15.4;8.3;31.8;13.3;43.8;33.3;27.3;33.3;9.1;11.1;26.7;25;37.5;25;26.1;40;30;26.9;28.6;7.7;30;7.7;29.4;34.5;42.9;23.1;31.8;40;45.1;40;14.3;10
d1xd7a_;44.7;36.8;25;28.6;23.8;20;33.3;28;7.7;36.7;19.4;0;28;33.3;20.7;26.7;12.5;45.2;33.3;36;41;27.3;31.8;26.5;20;25;40.9;39.1;29.6;34.2;36;16.7;33.3;34.4;28.6
d1p4xa1;40;33.9;28.6;42.9;31.5;35.5;22.2;42;33.3;37.7;37.8;40;52.5;6.7;35.2;30.8;35;35.8;31.2;35.5;30;22.2;35.7;35.1;40.8;25;33.3;39.1;14.3;41.2;35;12.5;20;14.3;19
d1p4xa2;41;31.8;25.9;20;43.1;46.4;32.8;37.2;45.5;36.3;34.9;39.5;42.2;35.5;38.3;23.1;35.1;0;28.6;43.9;34.2;22.2;22.2;34.5;44.4;34.3;33.3;38.8;39.1;37.9;40;37;40;13.3;36.8
d1hkqa_;10.5;37;32.4;28.6;21.1;45.5;43.5;39.1;44.8;41.5;41.7;42.9;46.4;28.6;14.3;35.3;45.8;41.2;25;8.3;35;43.2;33.3;39.6;35;39;37.8;33.3;16.7;37.5;0;44;0;35.3;31.2
d1xb4a1;16.7;27.8;32.6;46.9;20;38.5;34.4;36;37.5;36.7;33.3;16.7;28.6;27.3;39.3;28.6;25;28.6;0;6.2;27.8;38.1;28.6;33.3;34.4;21.4;13.3;23.1;36.4;27.3;21.7;23.1;40.8;44.4;36.8
d2g9wa1;52.7;40.7;40;46.4;48.4;41.7;44;40.9;18.2;0;35;43.5;35.7;43.4;43.1;27.9;40.6;37.1;23.5;33.8;41.9;11.1;40;40.7;25;16.7;34.1;41.4;35;17.6;25;25;41.7;33.3;35.3
d1sd4a_;17.4;38.3;40.4;40.9;13.3;30.4;41.2;36.7;26.7;34.1;29.2;47.2;41.2;40.7;28;35.7;47.1;43.9;6.2;0;32.3;11.1;11.1;45.1;34.2;16.7;41.9;42.4;26.9;30.8;8.3;25;17.6;36.4;28.6
